INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID
2013144996,2.01314E+15,2202,0,burglary-residence-by-force,burglary,3/25/2013 7:30,3/31/2013 17:29,3/31/2013 22:00,2477 N OSCEOLA ST,3129598,1699708,-105.0390701,39.7536011,1,121,sloan-lake
20136003085,2.0136E+16,2399,1,theft-bicycle,larceny,3/30/2013 15:00,3/30/2013 17:15,4/1/2013 19:05,410 17TH ST,3143710,1696345,-104.9889475,39.7441618,6,624,cbd
2013131337,2.01313E+15,3510,0,drug-heroin-sell,drug-alcohol,3/23/2013 14:00,,3/23/2013 14:00,800 BLOCK N TENNYSON ST,3128396,1690930,-105.043502,39.7295205,1,123,villa-park
2013190087,2.01319E+15,2202,0,burglary-residence-by-force,burglary,4/27/2013 12:00,4/29/2013 12:00,4/29/2013 17:26,935 N WOLFF ST,3126884,1691816,-105.048862,39.7319735,1,123,villa-park
20136004021,2.0136E+16,2999,2,criminal-mischief-graffiti,public-disorder,4/29/2013 15:59,4/29/2013 15:59,4/29/2013 16:06,1465 N JOSEPHINE ST,3152121,1694697,-104.9590724,39.7395041,3,311,congress-park
20136004022,2.0136E+16,2999,2,criminal-mischief-graffiti,public-disorder,4/15/2013 16:15,4/29/2013 16:25,4/29/2013 16:34,1455 N WOLFF ST,3126867,1694595,-105.0488733,39.7396026,1,122,west-colfax
2013189582,2.01319E+15,2202,0,burglary-residence-by-force,burglary,4/29/2013 0:00,4/29/2013 7:30,4/29/2013 7:35,1574 W CEDAR AVE,3137726,1684886,-105.0104466,39.7127951,4,412,valverde
20136004002,2.0136E+16,2308,0,theft-from-bldg,larceny,4/29/2013 8:04,4/29/2013 8:29,4/29/2013 10:03,2100 STOUT ST,3144359,1698649,-104.9865933,39.7504766,6,623,five-points
2013189902,2.01319E+15,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,1/1/2013 0:00,4/19/2013 12:00,4/29/2013 12:07,150 N SHERIDAN BLVD,3125851,1687199,-105.0526156,39.7193129,4,411,barnum-west
20136004001,2.0136E+16,2304,0,theft-parts-from-vehicle,theft-from-motor-vehicle,4/29/2013 0:00,4/29/2013 7:19,4/29/2013 9:58,500 BLK N DETROIT ST,3153543,1689355,-104.9541301,39.724816,3,314,cherry-creek
20136004011,2.0136E+16,2399,1,theft-bicycle,larceny,4/28/2013 14:15,4/28/2013 17:00,4/29/2013 11:48,2300 N STEELE ST,3155093,1698716,-104.9484177,39.7504878,2,215,city-park
2013181315,2.01318E+15,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,4/23/2013 18:59,4/24/2013 4:30,4/24/2013 4:57,1600 BLK N PEARL ST,3146341,1695767,-104.9796032,39.7425341,6,611,north-capitol-hill
2013189859,2.01319E+15,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,4/26/2013 20:00,,4/29/2013 12:04,300 BLK 1/2 S ELIOT ST,3133931,1683916,-105.0239539,39.7101876,4,413,athmar-park
2013189163,2.01319E+15,5312,0,disturbing-the-peace,public-disorder,4/28/2013 21:59,4/28/2013 22:15,4/28/2013 22:45,1200 BLK N WILLOW ST,3171970,1693848,-104.8885136,39.7368278,3,313,east-colfax
2013189794,2.01319E+15,2404,0,theft-of-motor-vehicle,auto-theft,4/27/2013 15:59,,4/29/2013 11:32,3100 BLOCK N LOWELL BLVD,3130862,1702661,-105.0345208,39.7616899,1,113,west-highland
20136004013,2.0136E+16,2304,0,theft-parts-from-vehicle,theft-from-motor-vehicle,4/26/2013 16:30,4/26/2013 16:30,4/28/2013 16:35,1776 N RACE ST,3150960,1696477,-104.9631633,39.7444094,6,612,city-park-west
20136004020,2.0136E+16,2399,1,theft-bicycle,larceny,4/28/2013 19:34,4/28/2013 22:15,4/29/2013 15:46,1400 20TH ST,3142302,1699804,-104.9938859,39.753679,6,625,union-station
2013188549,2.01319E+15,5312,0,disturbing-the-peace,public-disorder,4/28/2013 13:15,,4/28/2013 16:45,777 N BANNOCK ST,3143312,1690483,-104.9904797,39.7280757,6,617,lincoln-park
20136004031,2.0136E+16,2399,1,theft-bicycle,larceny,4/28/2013 10:30,4/29/2013 18:59,4/29/2013 20:17,300 E 17TH AVE,3145415,1695828,-104.9828949,39.7427161,6,611,north-capitol-hill
20136004027,2.0136E+16,2304,0,theft-parts-from-vehicle,theft-from-motor-vehicle,4/28/2013 23:55,4/29/2013 5:45,4/29/2013 18:42,480 N HUMBOLDT ST,3149294,1688818,-104.9692468,39.7234109,3,314,country-club
2013190016,2.01319E+15,7399,2,public-order-crimes-other,all-other-crimes,4/29/2013 13:09,,4/29/2013 15:59,1499 N BROADWAY ST / CIVIC CENTER,3144131,1694648,-104.9874844,39.7394967,6,616,civic-center
20136004018,2.0136E+16,2399,1,theft-bicycle,larceny,4/26/2013 8:35,4/28/2013 14:35,4/29/2013 14:45,430 N DELAWARE ST,3142723,1688710,-104.9926089,39.7232175,4,421,baker
2013189657,2.01319E+15,2202,0,burglary-residence-by-force,burglary,4/29/2013 7:30,4/29/2013 8:10,4/29/2013 9:30,1300 S SENECA CT,3138052,1677663,-105.0094265,39.6929615,4,432,ruby-hill
